iter	Logloss
0	0.5840459509
1	0.4956170269
2	0.4294379858
3	0.373394701
4	0.3298291854
5	0.291841188
6	0.2610201915
7	0.2338574854
8	0.2129802176
9	0.1935157649
10	0.1772318995
11	0.163939382
12	0.1508337382
13	0.1388895113
14	0.1293102615
15	0.1199200061
16	0.1129801973
17	0.1070031285
18	0.102344796
19	0.09769916218
20	0.09329358816
21	0.08906793436
22	0.08586038651
23	0.08231321654
24	0.07914880898
25	0.07694502077
26	0.07465491818
27	0.07243134255
28	0.07108076229
29	0.06980008435
30	0.06856640787
31	0.06735263288
32	0.06652649534
33	0.06565197071
34	0.06438770484
35	0.06294969071
36	0.06214348
37	0.06139555009
38	0.06054792267
39	0.06002754811
40	0.05949417064
41	0.05868940047
42	0.0582523536
43	0.05784242784
44	0.05730359235
45	0.0564521967
46	0.05610030672
47	0.05577105145
48	0.05545589325
49	0.05500317359
50	0.05454919927
51	0.05403097919
52	0.05338048671
53	0.05309072602
54	0.05288174989
55	0.05250941347
56	0.05234217934
57	0.0519354684
58	0.05167760247
59	0.05102784082
60	0.05078157106
61	0.05059509024
62	0.0503190802
63	0.05015321058
64	0.04988845031
65	0.04953618435
66	0.04912590796
67	0.04896482043
68	0.04878964007
69	0.04821873239
70	0.04804498413
71	0.04791131764
72	0.04752395055
73	0.04727949309
74	0.04714967933
75	0.04702037672
76	0.04689911328
77	0.04677587701
78	0.04666054473
79	0.04645075328
80	0.04637181059
81	0.04615189308
82	0.04595583961
83	0.04583035593
84	0.04564552687
85	0.0454624552
86	0.04527528579
87	0.04510751515
88	0.04494323393
89	0.04477242167
90	0.04461202695
91	0.04445444574
92	0.04432087642
93	0.04416222219
94	0.04400981172
95	0.04386033304
96	0.0437137101
97	0.04357036536
98	0.04349174373
99	0.04335170252
100	0.04321533237
101	0.04313809214
102	0.04306398647
103	0.04299275344
104	0.04290951447
105	0.04276332665
106	0.04262071696
107	0.04254124199
108	0.04239961238
109	0.04232674025
110	0.04225175589
111	0.04217939915
112	0.04204795897
113	0.04198133906
114	0.04191204084
115	0.04184569975
116	0.04172237054
117	0.04165853878
118	0.04157919055
119	0.04150347535
120	0.04144308232
121	0.04138449735
122	0.04131339106
123	0.04124545312
124	0.04119001961
125	0.04112541478
126	0.04107257932
127	0.04096499049
128	0.04091452919
129	0.04081066634
130	0.04071112936
131	0.04065681534
132	0.0406059865
133	0.04055737129
134	0.04051084719
135	0.04046323318
136	0.04041947611
137	0.0402939713
138	0.04018427446
139	0.04006581607
140	0.03997823434
141	0.03986661115
142	0.03976027699
143	0.03958485161
144	0.03942008457
145	0.0393823009
146	0.03924341719
147	0.03908847205
148	0.03899631944
149	0.03889535881
150	0.03874983001
151	0.03869547796
152	0.03856683437
153	0.03842926448
154	0.03829902404
155	0.03824785725
156	0.03819792822
157	0.038074561
158	0.0379521992
159	0.03787260172
160	0.0377553304
161	0.03766972572
162	0.0375593234
163	0.03747750385
164	0.03739472111
165	0.03731375068
166	0.03723442779
167	0.03714951592
168	0.03703624941
169	0.03693026588
170	0.03684249405
171	0.03675990987
172	0.03665315326
173	0.03655819983
174	0.03646774545
175	0.0363813846
176	0.03628266293
177	0.03620441306
178	0.0361152387
179	0.03601948262
180	0.03594749341
181	0.03587018559
182	0.03579611372
183	0.03572206719
184	0.03565095245
